Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
dispensing_tube_rack,0.3359203338623047,"[129.0, 30.0, 369.0, 478.0]","[-0.0, 0.0, 0.0]","[-143.0, -154.0, 443.0]","[403.0, -1903.0, 5468.0]","[-89.0, 109.0, 278.0]","[51.0, 271.0, 695.0]"
blood_tube,0.4510936439037323,"[405.0, 146.0, 440.0, 198.0]","[347.0, -246.0, 2156.0]","[503.0, -593.0, 3780.0]","[1016.0, -835.0, 5325.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.32412171363830566,"[132.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-142.0, -156.0, 449.0]","[313.0, -1504.0, 4343.0]","[-87.0, 108.0, 276.0]","[50.0, 272.0, 694.0]"
blood_tube,0.42492109537124634,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[500.0, -589.0, 3757.0]","[892.0, -733.0, 4675.0]","[284.0, -152.0, 2134.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.2725442945957184,"[127.0, 31.0, 369.0, 478.0]","[-54.0, 9.0, 426.0]","[-145.0, -154.0, 445.0]","[393.0, -1845.0, 5325.0]","[-90.0, 109.0, 278.0]","[51.0, 273.0, 698.0]"
blood_tube,0.46802380681037903,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[503.0, -593.0, 3780.0]","[990.0, -814.0, 5190.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
tube_rack_storage_cabinet,0.3005794584751129,"[456.0, 368.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[457.0, 440.0, 2104.0]","[1014.9999999999999, 409.0, 1957.0]",,"[120.0, 91.0, 231.0]"
dispensing_tube_rack,0.2872573435306549,"[135.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-141.0, -157.0, 452.0]","[401.0, -1928.0, 5567.0]","[-86.0, 108.0, 275.0]","[50.0, 273.0, 696.0]"
blood_tube,0.44224053621292114,"[405.0, 146.0, 440.0, 198.0]","[346.0, -245.0, 2149.0]","[479.0, -565.0, 3602.0]","[853.0, -701.0, 4470.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
blood_tube,0.39399051666259766,"[405.0, 146.0, 440.0, 198.0]","[347.0, -246.0, 2156.0]","[479.0, -565.0, 3602.0]","[899.0, -739.0, 4711.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.28293150663375854,"[248.0, 237.0, 368.0, 273.0]","[-11.0, 9.0, 404.0]","[-55.0, -3.0, 438.0]","[167.0, -16.0, 2311.0]","[-38.0, 16.0, 302.0]","[125.0, 91.0, 1740.0]"
tube_rack_storage_cabinet,0.26509374380111694,"[455.0, 363.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[455.0, 424.0, 2112.0]","[1099.0, 426.0, 2119.0]",,"[120.0, 91.0, 232.0]"
blood_tube,0.46666449308395386,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[476.0, -562.0, 3581.0]","[885.0, -728.0, 4639.0]","[287.0, -153.0, 2156.0]","[403.0, -150.0, 2112.0]"
blood_tube,0.46549856662750244,"[405.0, 146.0, 440.0, 198.0]","[341.0, -242.0, 2119.0]","[479.0, -565.0, 3602.0]","[982.0, -807.0, 5146.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
tube_rack_storage_cabinet,0.2565317451953888,"[448.0, 351.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[428.0, 380.0, 2097.0]","[1077.0, 376.0, 2076.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.3805660307407379,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[463.0, -546.0, 3480.0]","[942.0, -775.0, 4939.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3357165455818176,"[250.0, 237.0, 368.0, 272.0]","[-10.0, 9.0, 404.0]","[-54.0, -3.0, 437.0]",,"[-37.0, 15.0, 302.0]","[125.0, 88.0, 1740.0]"
tube_rack_storage_cabinet,0.2514694929122925,"[451.0, 368.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[441.0, 442.0, 2112.0]","[1035.0, 417.0, 1995.0]",,"[120.0, 91.0, 232.0]"
blood_tube,0.35259395837783813,"[405.0, 146.0, 440.0, 199.0]","[344.0, -243.0, 2134.0]","[491.0, -579.0, 3689.0]","[892.0, -733.0, 4675.0]","[287.0, -150.0, 2156.0]","[401.0, -146.0, 2104.0]"
10ML_centrifuge_tube,0.2860197424888611,"[247.0, 237.0, 368.0, 274.0]","[-12.0, 9.0, 404.0]","[-56.0, -3.0, 438.0]",,"[-38.0, 16.0, 302.0]","[124.0, 93.0, 1720.0]"
blood_tube,0.45785677433013916,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[463.0, -546.0, 3480.0]","[1052.0, -865.0, 5517.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.43190404772758484,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[497.0, -586.0, 3734.0]","[1034.0, -850.0, 5420.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.486869752407074,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[468.0, -552.0, 3520.0]","[892.0, -733.0, 4675.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
tube_rack_storage_cabinet,0.27232030034065247,"[459.0, 362.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[467.0, 419.0, 2104.0]","[1103.0, 424.0, 2126.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.4265613853931427,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[479.0, -565.0, 3602.0]","[920.0, -756.0, 4822.0]","[285.0, -152.0, 2141.0]","[403.0, -150.0, 2112.0]"
tube_rack_storage_cabinet,0.26292139291763306,"[450.0, 352.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[436.0, 384.0, 2104.0]","[1096.0, 386.0, 2112.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.3805943727493286,"[405.0, 146.0, 440.0, 198.0]","[341.0, -242.0, 2119.0]","[503.0, -593.0, 3780.0]","[942.0, -775.0, 4939.0]","[285.0, -152.0, 2141.0]","[403.0, -150.0, 2112.0]"
